Date,psavert,unemploy
43101,45,2
43101.04167,49,1
43101.08333,51,1
43101.125,52,1
43101.16667,49,1
43101.20833,48,1
43101.25,54,1
43101.29167,46,2
43101.33333,26,17
43101.375,13,-999
43101.41667,10,30
43101.45833,6,33
43101.5,5,34
43101.54167,5,34
43101.58333,6,34
43101.625,10,30
43101.66667,14,26
43101.70833,9,30
43101.75,9,30
43101.79167,13,27
43101.83333,11,29
43101.875,10,29
43101.91667,11,28
43101.95833,14,27
43102,17,23
43102.04167,13,26
43102.08333,15,24
43102.125,20,19
43102.16667,18,21
43102.20833,9,30
43102.25,11,28
43102.29167,14,26
43102.33333,14,26
43102.375,13,27
43102.41667,13,26
43102.45833,15,24
43102.5,15,24
43102.54167,12,27
43102.58333,12,28
43102.625,11,29
43102.66667,13,27
43102.70833,15,24
43102.75,16,23
43102.79167,16,23
43102.83333,14,24
43102.875,14,23
43102.91667,13,24
43102.95833,13,25
43103,9,30
43103.04167,9,31
43103.08333,10,31
43103.125,10,31
43103.16667,10,31
43103.20833,9,31
43103.25,12,31
43103.29167,15,29
43103.33333,20,23
43103.375,20,22
43103.41667,16,24
43103.45833,14,26
43103.5,16,25
43103.54167,18,23
43103.58333,20,22
43103.625,20,21
43103.66667,23,19
43103.70833,23,17
43103.75,14,24
43103.79167,13,23
43103.83333,21,17
43103.875,21,16
43103.91667,21,15
43103.95833,24,11
43104,23,11
43104.04167,25,9
43104.08333,27,7
43104.125,31,5
43104.16667,28,9
43104.20833,36,5
43104.25,36,7
43104.29167,37,7
43104.33333,35,10
43104.375,29,16
43104.41667,21,21
43104.45833,18,24
43104.5,18,24
43104.54167,18,24
43104.58333,16,25
43104.625,17,24
43104.66667,15,23
43104.70833,13,24
43104.75,15,22
43104.79167,13,24
43104.83333,10,27
43104.875,11,27
43104.91667,13,26
43104.95833,12,26
43105,15,23
43105.04167,14,24
43105.08333,13,24
43105.125,18,20
43105.16667,20,18
43105.20833,24,15
43105.25,27,13
43105.29167,38,7
43105.33333,36,8
43105.375,24,16
43105.41667,22,18
43105.45833,22,19
43105.5,20,21
43105.54167,22,20
43105.58333,19,22
43105.625,14,24
43105.66667,15,22
43105.70833,19,19
43105.75,19,19
43105.79167,20,20
43105.83333,19,20
43105.875,13,24
43105.91667,18,20
43105.95833,24,16
43106,12,24
43106.04167,17,20
43106.08333,21,17
43106.125,23,15
43106.16667,19,18
43106.20833,18,18
43106.25,16,21
43106.29167,23,14
43106.33333,22,16
43106.375,19,19
43106.41667,14,23
43106.45833,11,25
43106.5,11,26
43106.54167,12,26
43106.58333,13,26
43106.625,13,25
43106.66667,17,22
43106.70833,19,22
43106.75,18,23
43106.79167,21,21
43106.83333,29,15
43106.875,31,-999
43106.91667,28,15
43106.95833,25,16
43107,38,6
43107.04167,45,1
43107.08333,45,1
43107.125,44,2
43107.16667,45,1
43107.20833,42,5
43107.25,28,14
43107.29167,18,22
43107.33333,20,21
43107.375,16,23
43107.41667,12,27
43107.45833,12,29
43107.5,12,29
43107.54167,15,27
43107.58333,13,28
43107.625,14,27
43107.66667,14,29
43107.70833,14,28
43107.75,15,27
43107.79167,14,28
43107.83333,14,27
43107.875,11,30
43107.91667,10,30
43107.95833,11,29
